1	7986461	9484
2	7986463	9485
3	7986465	9486
4	7986467	9487
5	7986469	9905
6	7987481	9488
7	7987483	9489
8	7987485	9490
9	7987487	9491
10	7987489	9492
11	7987491	9493
12	7987493	9906
13	7987495	9907
14	7987497	9908
15	7987499	12021
16	7988505	9494
17	7988507	9495
18	7988509	9496
19	7988511	9497
20	7988513	9498
21	7988515	9909
22	7988517	9910
23	7988519	9911
24	7988521	9912
25	7988523	12413
26	7988525	12022
27	7988527	12023
28	7989527	9499
29	7989529	9500
30	7989531	9501
31	7989533	9502
32	7989535	9503
33	7989537	9913
34	7989539	9914
35	7989541	9915
36	7989543	9916
37	7989545	12414
38	7989547	12415
39	7989549	12416
40	7989551	12417
41	7989553	12418
42	7990549	9504
43	7990551	9505
44	7990553	9506
45	7990555	9507
46	7990557	9508
47	7990559	9917
48	7990561	9918
49	7990563	9919
50	7990565	9920
51	7990567	12419
52	7990569	12420
53	7990571	12024
54	7990573	12421
55	7990575	12422
56	7990577	12423
57	7991573	9509
58	7991575	9510
59	7991577	9511
60	7991579	9512
61	7991581	9921
62	7991583	9922
63	7991585	9923
64	7991587	9924
65	7991589	12025
66	7991591	12424
67	7991593	12425
68	7991595	12426
69	7991597	12427
70	7991599	12428
71	7991601	12429
72	7991603	16604
73	7992595	9513
74	7992597	9514
75	7992599	9515
76	7992601	9516
77	7992603	9925
78	7992605	9926
79	7992607	9927
80	7992609	9928
81	7992611	12430
82	7992613	12026
83	7992615	12431
84	7992617	12027
85	7992619	12432
86	7992621	12433
87	7992623	12434
88	7992625	15365
89	7993617	9517
90	7993619	9518
91	7993621	9519
92	7993623	9520
93	7993625	9521
94	7993627	9929
95	7993629	9930
96	7993631	9931
97	7993633	12435
98	7993635	12436
99	7993637	12028
100	7993639	12437
101	7993641	12438
102	7993643	12439
103	7993645	12440
104	7993647	12441
105	7993649	15083
106	7994641	9522
107	7994643	9523
108	7994645	9524
109	7994647	9525
110	7994649	9932
111	7994651	9933
112	7994653	9934
113	7994655	9935
114	7994657	12442
115	7994659	12443
116	7994661	12444
117	7994663	12445
118	7994665	12446
119	7994667	12447
