1	10601719	5541
2	10602737	6791
3	10602739	7856
4	10602741	7857
5	10602743	5542
6	10602745	5543
7	10602747	6792
8	10603757	7858
9	10603759	6793
10	10603761	7859
11	10603763	7860
12	10603765	5544
13	10603767	5545
14	10603769	5546
15	10603771	8683
16	10603773	7861
17	10603775	11274
18	10604781	7862
19	10604783	5547
20	10604785	5548
21	10604787	7863
22	10604789	7864
23	10604791	7865
24	10604793	11275
25	10604795	11276
26	10604797	10790
27	10604799	8684
28	10604801	6794
29	10605803	7866
30	10605805	6795
31	10605807	7867
32	10605809	7868
33	10605811	6796
34	10605813	7869
35	10605815	5549
36	10605817	5550
37	10605819	8685
38	10605821	6797
39	10605823	7870
40	10605825	8686
41	10605827	10275
42	10606825	5551
43	10606827	6798
44	10606829	6799
45	10606831	7871
46	10606833	6800
47	10606835	7872
48	10606837	5552
49	10606839	5553
50	10606841	11664
51	10606843	11277
52	10606845	10791
53	10606847	7873
54	10606849	11278
55	10606851	7874
56	10606853	6801
57	10607847	7875
58	10607849	5554
59	10607851	5555
60	10607853	7876
61	10607855	6802
62	10607857	5556
63	10607859	8687
64	10607861	6803
65	10607863	5557
66	10607865	6804
67	10607867	7877
68	10607869	8688
69	10607871	8689
70	10607873	7878
71	10607875	6805
72	10607877	7879
73	10608869	7880
74	10608871	7881
75	10608873	7882
76	10608875	7883
77	10608877	6806
78	10608879	5558
79	10608881	6807
80	10608883	7884
81	10608885	8690
82	10608887	6808
83	10608889	8691
84	10608891	6809
85	10608893	8692
86	10608895	7885
87	10608897	6810
88	10608899	8693
89	10608901	8694
90	10609891	7886
91	10609893	7887
92	10609895	7888
93	10609897	6811
94	10609899	5559
95	10609901	5560
96	10609903	6812
97	10609905	5561
98	10609907	6813
99	10609909	6814
100	10609911	8695
101	10609913	8696
102	10609915	10276
103	10609917	6815
104	10609919	10277
105	10609921	11920
106	10609923	7889
107	10609925	11279
108	10609927	8697
109	10610915	5562
110	10610917	6816
111	10610919	7890
112	10610921	7891
113	10610923	7892
114	10610925	7893
115	10610927	7894
116	10610929	8698
117	10610931	5563
